# JPL Horizons reference snapshot.
# Source: NASA/JPL Horizons API, DE441, geocentric ecliptic J2000 vector tables.
# Coverage: selected bodies sampled at 1500-01-01 for Sun, Moon, Mercury, Venus; selected bodies sampled at 1600-01-11 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Uranus, Neptune; major bodies sampled at 1749-12-31 for Sun through Neptune; selected bodies sampled at 1750-01-01 for Sun, Moon, Mercury, Venus, Mars, Jupiter, Saturn, Uranus, Neptune; inner planets sampled across 1800-2500; major bodies sampled at 1800-01-03 for Sun through Pluto; selected bodies sampled at 1900-01-01 for Sun, Moon, Mercury, Venus; major bodies sampled at 2400000, 2451545, 2451910.5, 2451911.5, 2451912.5, 2451913.5, 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451916.0, 2451916.5, 2451917.0, 2451917.5, 2451918.5, 2451919.5, 2451920.5, 2453000.5, and 2500000; major bodies sampled at 2451915.5 for Sun through Pluto; Mars sampled at 2600000 and 2634167 for outer boundary coverage; major bodies sampled at 2451913.5 through 2451917.5 for additional boundary coverage; selected asteroids sampled at J2000, 2378498.5, 2451910.5 through 2451919.5, with 2451914.0, 2451914.5, 2451915.0, 2451915.5, 2451918.5, and 2451919.5 boundary coverage, 1800-01-03, 2003-12-27, 2132-08-31, 2500-01-01, and 2634167.
# Columns: epoch_jd,body,x_km,y_km,z_km
2360233.500000000,Jupiter,768606951.8055014610,-56773620.7830856591,-16967790.2767475583
2360233.500000000,Saturn,-755971415.0101755857,-1406319877.0936529636,53679458.0480745435
2360233.500000000,Uranus,2467213908.0931468010,-1882430381.0715379715,-38422365.7123216391
2360233.500000000,Neptune,-2185931846.9303441048,3755940758.7371039391,-29257799.1247830391
2360234.500000000,Sun,3.574058559065048E+07,-1.426754655421213E+08,-8.011461707461625E+04
2360234.500000000,Moon,-3.863163315696237E+05,-1.084263996401182E+05,-3.719773314057726E+04
2360234.500000000,Mercury,2.126808208111974E+07,-2.108390557723557E+08,-4.288363337608978E+06
2360234.500000000,Venus,1.053291917150020E+08,-6.000884081216520E+07,-3.037885566391997E+06
2360234.500000000,Mars,2.132822999210276E+08,-2.000304473116435E+07,-1.980590923536268E+06
2360234.500000000,Jupiter,7.710044294508252E+08,-5.498678965840821E+07,-1.696869502629083E+07
2360234.500000000,Saturn,-7.527659541927204E+08,-1.406153341763549E+09,5.366182349124676E+07
2360234.500000000,Uranus,2.470095716195880E+09,-1.881366255719184E+09,-3.842460110372150E+07
2360234.500000000,Neptune,-2.183798064884745E+09,3.756323760545851E+09,-2.924316458847833E+07
2378498.500000000,Sun,38735431.89507382,-141896621.1123567,-62892.53213621676
2378498.500000000,Moon,385827.770490674,108738.8566050555,-12827.26448813899
2378498.500000000,Mercury,-422946.0176606327,-110075417.0857425,6142515.48120442
2378498.500000000,Venus,-56216409.4795019,-91838265.75130759,6089342.025045361
2378498.500000000,Mars,-122097284.2425566,-310421821.6797171,441199.049378261
2378498.500000000,Jupiter,32035939.83266886,625966085.8789231,-2972435.244757175
2378498.500000000,Saturn,-813291704.2430391,920696587.7250692,14704871.58436662
2378498.500000000,Uranus,-2694665461.073501,3738903.921614539,36138104.69503089
2378498.500000000,Neptune,-2998943659.420846,-3507601328.664367,139196634.9535084
2378498.500000000,Pluto,5473703289.805173,-2639625124.60788,-1304337593.61375
2378498.500000000,Ceres,4.732026309316018E+08,-1.576039469554995E+08,-8.145025962038448E+07
2378498.500000000,Pallas,4.852770719312961E+08,-3.277756211804130E+08,1.020741024444849E+08
2378498.500000000,Juno,3.452522560121720E+08,-3.574229214137551E+08,4.188939685593894E+07
2378498.500000000,Vesta,-2.923800117482837E+08,-1.916302454337136E+08,4.149302358906051E+07
2378498.500000000,asteroid:433-Eros,2.461837757794973E+08,-3.011260272944849E+08,1.456223323003560E+07
2378499.000000000,Mars,-120036742.6317743957,-310704568.0697153211,408251.6429474354
2378499.000000000,Mercury,-879960.6069035754,-111299572.7778941989,6173194.4373783022
2378499.000000000,Moon,373809.2167620607,148815.7119157299,-9317.3307057339
2378499.000000000,Sun,39996356.1489363983,-141547136.8492578864,-62644.0415105224
2378499.000000000,Venus,-55658037.1367154866,-92839387.2940190732,6112540.9926989116
2378499.000000000,Jupiter,32725394.88951567,626336691.1865075,-2959430.953072637
2378499.000000000,Saturn,-812379908.371634,920783948.1615198,14723572.52429426
2378499.000000000,Uranus,-2693423157.103395,3780900.921404019,36137453.91524121
2378499.000000000,Neptune,-2997510461.94945,-3507407831.583525,139196140.9132681
2378499.000000000,Pluto,5475077336.024084,-2639121284.288463,-1304385849.572834
2400000.000000000,Sun,-82983071.34875283,-122374440.6489498,-44751.77030317485
2400000.000000000,Moon,380758.9399024625,-29704.7542493131,7646.599328770169
2400000.000000000,Mercury,-86091572.52434272,-191617721.7747146,-5401895.68081218
2400000.000000000,Venus,561976.0006818202,-53675922.95024715,-3964612.636687282
2400000.000000000,Mars,117818042.4370795,-172303734.5575874,-6085119.425212458
2400000.000000000,Jupiter,93738884.15992387,616336553.595149,-6986194.548149079
2400000.000000000,Saturn,-924134542.2304075,948666148.7117765,14307929.77038795
2400000.000000000,Uranus,1221837570.786499,2474256357.303722,-7312507.83982408
2400000.000000000,Neptune,4377561159.727052,-446484814.9246678,-96103378.55824214
2400000.000000000,Pluto,5438718299.32562,4285671445.11767,-2068875089.084069
2415020.500000000,Sun,2.945395590456887E+07,-1.441154609483244E+08,-3.200530964307487E+04
2415020.500000000,Moon,2.446493173227516E+04,-3.675089595490135E+05,7.042562946357473E+03
2415020.500000000,Mercury,-2.849705910538253E+07,-1.684482500097448E+08,3.317515668195382E+06
2415020.500000000,Venus,1.341506582992078E+08,-1.730896530569639E+08,-6.471753796003692E+06
2451545.000000000,Jupiter,625066658.3344949484,294907383.1556236148,-15226250.5235615093
2451545.000000000,Mars,234547174.3192724884,-146704349.4205744863,-5155677.8098420724
2451545.000000000,Mercury,7037307.3215767741,-211610572.0560733080,-3679243.1943235989
2451545.000000000,Moon,-291608.3841877129,-274979.7416731504,36271.1966269929
2451545.000000000,Neptune,2541545505.1651439667,-3883411835.9603037834,19032828.5632674694
2451545.000000000,Pluto,-1450831888.6293640137,-4327272164.3290452957,875216091.9444268942
2451545.000000000,Ceres,-329443324.8250660000,-25694279.2025582710,69265258.7815586218
2451545.000000000,Pallas,-99333486.4849848747,102698600.1575990915,-160650970.5941710472
2451545.000000000,Juno,83971143.3701990992,-596846128.4877847433,100330099.4587375978
2451545.000000000,Vesta,-175993717.6097736955,-394994978.1988415718,32149464.5402705222
2451545.000000000,Saturn,984884392.5931521654,838158986.1667786837,-55212368.5493292511
2451545.000000000,Sun,26499033.6774304993,-144697296.7925493121,611.1494259536
2451545.000000000,Uranus,2185473853.2062292099,-2199322833.2607669830,-35624890.1674435064
2451545.000000000,Venus,-80957460.3747600764,-149582311.7684217989,6136245.4491443494
2500000.000000000,Sun,-138643512.4798310100,59952914.6502153420,-18567.8707301021
2500000.000000000,Moon,306844.1486481092,214085.8177533242,-26144.6701916030
2500000.000000000,Mercury,-195433895.5475129187,31216734.9140983789,2822139.5634521380
2500000.000000000,Venus,-72860428.8999280930,145652312.5983313918,-2605827.2735094800
2500000.000000000,Mars,-385069185.3149557700,49266402.1670670060,5742462.9185795230
2600000.000000000,Mars,192712631.2184632123,288395759.2562317252,-1144706.6146790242
2500000.000000000,Jupiter,-351711409.0897774696,807465191.5953361988,1570041.5462065340
2500000.000000000,Saturn,-974510866.4737337828,-1170770626.9229078293,54556396.5285298824
2500000.000000000,Uranus,-2724073463.3637304306,957865027.9722084999,36751664.2481004596
2500000.000000000,Neptune,-2772952726.7216420174,-3631884522.9858784676,136742248.1506407112
2500000.000000000,Pluto,3126720342.4920425415,6351260801.2554798126,-1617764344.7280118465
2634167.000000000,Mars,74024497.1650261283,-350287358.4311270714,-5623774.4830421805
2634167.000000000,Mercury,-15625006.4402557705,-211260096.1126619875,-2791559.5617596209
2634167.000000000,Moon,12579.3264315975,-355568.5999571006,30563.8397164128
2634167.000000000,Sun,10345981.1222084705,-146812990.4649527073,164639.9091552868
2634167.000000000,Venus,18421952.3358409889,-39407359.1827354580,1317504.7767631861
2451911.500000000,Sun,2.969987319824899E+07,-1.440702746926717E+08,-7.692564619332552E+01
2451912.500000000,Sun,3.225764990210538E+07,-1.435177323831326E+08,-8.777795607596636E+01
2451911.500000000,Moon,3.951469925752630E+05,6.124101249161908E+03,-3.548654182535261E+04
2451912.500000000,Moon,3.796002400349247E+05,9.020025890027192E+04,-3.618355228875321E+04
2451911.500000000,Mercury,5.794559331380188E+07,-2.034341446278850E+08,-7.442009843203440E+06
2451912.500000000,Mercury,6.341130834285963E+07,-2.007612430187681E+08,-7.535707599932045E+06
2451911.500000000,Venus,1.014026586232076E+08,-6.320510977268659E+07,-3.033537927474827E+06
2451912.500000000,Venus,1.016593852826309E+08,-6.069006033820611E+07,-2.873908132673088E+06
2451911.500000000,Saturn,7.299186280536828E+08,1.024712192736476E+09,-4.818285539332789E+07
2451912.500000000,Saturn,7.317152855197263E+08,1.025692185639577E+09,-4.816007694996846E+07
2451911.500000000,Uranus,2.329888114306405E+09,-2.047210172067952E+09,-3.689077230679834E+07
2451912.500000000,Uranus,2.332815533130885E+09,-2.046231173528505E+09,-3.689399364967632E+07
2451911.500000000,Neptune,2.684215397602445E+09,-3.782748355808170E+09,1.376359351256895E+07
2451912.500000000,Neptune,2.687148361744508E+09,-3.781915759369044E+09,1.374921428987122E+07
2451911.500000000,Pluto,-1.280631565199042E+09,-4.408025419522228E+09,8.355474422979982E+08
2451912.500000000,Pluto,-1.277617084277562E+09,-4.407687786872760E+09,8.354386486483676E+08
2451545.000000000,asteroid:433-Eros,-152571435.7590488,-228663775.2245853,-37332962.90075935
2451545.000000000,asteroid:99942-Apophis,-152571435.7590488,-228663775.2245853,-37332962.90075935
2451910.500000000,Ceres,-1.270793994007524E+08,-5.277149381390741E+08,1.659062336958072E+07
2500000.000000000,Ceres,-1.114155578575328E+08,4.589029717827943E+08,9.708337731298864E+06
2634167.000000000,Ceres,4.333955399213065E+08,-4.753096154093122E+07,-6.964616136077814E+07
2451910.500000000,Pallas,-2.724805483568195E+08,-3.564948525223942E+08,1.711868376024391E+08
2500000.000000000,Pallas,2.997269101102748E+08,7.457811665756407E+07,-5.392671022838608E+07
2634167.000000000,Pallas,8.820158456766874E+06,-5.377669680337735E+08,2.729168582287541E+08
2451910.500000000,Juno,3.568759899051110E+08,-1.579498634412268E+08,-9.933671242405817E+06
2500000.000000000,Juno,-2.291958610210339E+08,3.568393105807725E+08,-6.221995147666095E+07
2634167.000000000,Juno,-4.244601357391459E+08,-2.189617911199766E+08,4.872325253395327E+07
2451910.500000000,Vesta,3.621974228020638E+08,-2.410420150162830E+08,-3.779204528398573E+07
2500000.000000000,Vesta,-3.108255362694721E+07,4.289505116053119E+08,-2.338022605576396E+07
2634167.000000000,Vesta,-2.649912363268572E+08,9.567232570852505E+07,2.923994662800148E+07
2451910.500000000,asteroid:433-Eros,2.587140673472077E+08,-1.399461333638647E+08,3.704813533119718E+07
2451910.500000000,Sun,2.713262150198731E+07,-1.445779809730341E+08,-4.531311373412609E+01
2451910.500000000,Moon,3.915955044373444E+05,-7.833780723076822E+04,-3.307261191553545E+04
2451910.500000000,Mercury,5.237374548660013E+07,-2.058591801529905E+08,-7.322834155582920E+06
2451910.500000000,Venus,1.010802559818668E+08,-6.573870534818907E+07,-3.190769320772734E+06
2451910.500000000,Mars,-2.193061646018852E+08,-1.531832141126200E+08,5.876852994542398E+06
2451910.500000000,Jupiter,2.959238718160564E+08,5.607654834700588E+08,-8.945974377919167E+06
2451910.500000000,Saturn,7.281121894600717E+08,1.023776599263419E+09,-4.820560340961206E+07
2451910.500000000,Uranus,2.326951112089859E+09,-2.048144260634312E+09,-3.688752758433020E+07
2451910.500000000,Neptune,2.681272997583603E+09,-3.783536055089191E+09,1.377796796384573E+07
2451910.500000000,Pluto,-1.283655865504536E+09,-4.408317479759681E+09,8.356579823330377E+08
2451911.500000000,Ceres,-1.231511186099800E+08,-5.278951870392078E+08,1.631853402910623E+07
2451911.500000000,Pallas,-2.691475496412125E+08,-3.571546511543758E+08,1.719306314051884E+08
2451911.500000000,Juno,3.591327614212857E+08,-1.556346289428655E+08,-1.033163084146248E+07
2451911.500000000,Vesta,3.653580851617679E+08,-2.389605287226476E+08,-3.791165695476545E+07
2451911.500000000,asteroid:433-Eros,2.607920623355963E+08,-1.375261643380964E+08,3.717761970080224E+07
2451912.500000000,Ceres,-1.192301709065959E+08,-5.280252213402323E+08,1.604623673932245E+07
2451912.500000000,Pallas,-2.658195795826231E+08,-3.577664444013719E+08,1.726718876472178E+08
2451912.500000000,Juno,3.613709586646739E+08,-1.532742389848495E+08,-1.072928430091167E+07
2451912.500000000,Vesta,3.685015731190356E+08,-2.368320303350207E+08,-3.803037825147061E+07
2451912.500000000,asteroid:433-Eros,2.628427491095976E+08,-1.350618642150500E+08,3.730425583011267E+07
2451913.500000000,Ceres,-1.153173729290681E+08,-5.281052580345998E+08,1.577373672433048E+07
2451913.500000000,Pallas,-2.624974571470126E+08,-3.583304452541255E+08,1.734106033716339E+08
2451913.500000000,Juno,3.635897645581916E+08,-1.508689643922135E+08,-1.112661844255763E+07
2451913.500000000,Vesta,3.716270875280376E+08,-2.346567805541639E+08,-3.814820636707647E+07
2451913.500000000,asteroid:433-Eros,2.648652753066820E+08,-1.325536058254389E+08,3.742801964919664E+07
2451914.000000000,Sun,3.607481268291684E+07,-1.426053410508678E+08,-6.273874327540398E+01
2451914.000000000,Moon,3.208224610884871E+05,2.064357887484035E+05,-3.381308189366791E+04
2451914.000000000,Mercury,7.138130161185983E+07,-1.962927124920237E+08,-7.626340226853386E+06
