# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_rise_trans / swe_rise_trans_true_hor, iflag=SEFLG_MOSEPH.
# Bodies via ipl (Sun=0,Moon=1,Mars=4); stars via swe_fixstar starname path. UT->TDB: jd_tdb=jd_ut+swe_deltat(jd_ut).
# se_jd_ut/se_jd_tdb == 'none' means SE reported no rise/set (return -2: circumpolar or never rises).
# Disc: default=upper limb; center=SE_BIT_DISC_CENTER; lower=SE_BIT_DISC_BOTTOM. refraction=0 => SE_BIT_NO_REFRACTION. fixed_disc=SE_BIT_FIXED_DISC_SIZE. hindu=SE_BIT_HINDU_RISING. horizon_deg => swe_rise_trans_true_hor(horhgt). For transits SE ignores these flags.
# Ecliptic-point rise/set OMITTED (SE swe_rise_trans has no arbitrary-ecliptic-point support); ecliptic points are covered in azalt.csv.
object,event,lat_deg,lon_deg,elev_m,preset,disc,refraction,no_ecl_lat,fixed_disc,hindu,horizon_deg,atpress_hpa,attemp_c,start_jd_ut,se_jd_ut,se_jd_tdb
Aldebaran,Set,66.5000,25.0000,0.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451544.718900761,2451544.719639518
Sun,Rise,-33.0000,151.0000,50.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.285351945,2451545.286090708
Sun,Set,-33.0000,151.0000,50.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451544.880449465,2451544.881188224
Aldebaran,Rise,-33.0000,151.0000,50.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451544.772600254,2451544.773339013
Aldebaran,Set,-33.0000,151.0000,50.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.213683845,2451545.214422608
Sun,UpperTransit,0.0000,0.0000,0.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.002282449,2451545.003021210
Sun,LowerTransit,0.0000,0.0000,0.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451544.502116545,2451544.502855300
Sun,UpperTransit,-33.0000,151.0000,50.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451544.582699292,2451544.583438049
Sun,LowerTransit,-33.0000,151.0000,50.0,default,upper,1,0,0,0,none,1013.250,15.000,2451544.500000,2451545.082864075,2451545.083602837
Moon,Rise,66.5000,25.0000,0.0,default,upper,1,0,0,0,none,1013.250,15.000,2460674.500000,none,none
Moon,Set,66.5000,25.0000,0.0,default,upper,1,0,0,0,none,1013.250,15.000,2460674.500000,none,none
Sun,Rise,66.5000,25.0000,0.0,default,upper,1,0,0,0,none,1013.250,15.000,2451726.500000,none,none
Sun,Set,66.5000,25.0000,0.0,default,upper,1,0,0,0,none,1013.250,15.000,2451726.500000,none,none
