#Pleiades SPK Reference Corpus
#Source: JPL DE SPK kernel: de440.bsp
#Kernel-SHA256: a4ce9bf9b3282becc9f4b2ac3cebe03a2ae7599981aabd7265fd8482fff7c4b5
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL DE kernel; corpus is redistributable
#Slice-Role: fast_cluster
#Columns:epoch_jd,body,x_km,y_km,z_km
2420031.5,Mercury,-209258747.423027,-8242563.497152,4469177.970981
2420031.5,Venus,-155233575.217201,111148165.755331,1737403.771898
2420032.5,Moon,124445.187236,369342.896185,35125.959366
2420032.5,Mercury,-209171445.097314,-14719711.799194,4141462.791416
2420032.5,Venus,-158263603.786979,108381791.409741,1909343.633604
2420033.5,Moon,38641.755328,382643.327024,35703.962051
2420033.5,Mercury,-208785965.519881,-21129421.680496,3795875.146842
2420033.5,Venus,-161243277.183468,105529593.759872,2079743.448067
2420034.5,Moon,-49116.187223,375905.740085,34412.461728
2420034.5,Mercury,-208112853.108192,-27457454.581033,3434492.656028
2420034.5,Venus,-164170114.262549,102592506.485556,2248465.750276
2420035.5,Moon,-134186.830986,348622.572648,31240.477798
2420035.5,Mercury,-207162792.430357,-33690788.820283,3059305.981147
2420035.5,Venus,-167041646.605070,99571544.498322,2415375.399622
2420036.5,Moon,-211648.190272,301406.466595,26283.014928
2420036.5,Mercury,-205946530.719384,-39817508.254709,2672220.603704
2420036.5,Venus,-169855422.755208,96467806.057938,2580339.905180
2420037.5,Moon,-276586.007617,236174.307495,19755.796839
2420037.5,Mercury,-204474819.963400,-45826697.417458,2275059.738537
2420037.5,Venus,-172609013.776103,93282474.597667,2743229.718422
2420038.5,Moon,-324505.095290,156246.834295,12001.210741
2420038.5,Mercury,-202758375.758776,-51708344.713165,1869567.972388
2420038.5,Venus,-175300020.298309,90016819.460154,2903918.418099
2420039.5,Moon,-351832.935361,66278.304178,3477.803034
2420039.5,Mercury,-200807849.966143,-57453255.062004,1457415.267523
2420039.5,Venus,-177926080.680079,86672194.504981,3062282.694103
2420040.5,Moon,-356419.277826,-28051.955781,-5272.220182
2420040.5,Mercury,-198633813.799370,-63052972.878933,1040201.055883
2420040.5,Venus,-180484879.107612,83250033.759784,3218202.062824
2420041.5,Moon,-337887.248321,-120583.070255,-13676.072789
2420041.5,Mercury,-196246747.735547,-68499715.205631,619458.282022
2420041.5,Venus,-182974151.877382,79751844.152068,3371558.331051
2420042.5,Moon,-297707.957406,-205346.210201,-21193.333057
2420042.5,Mercury,-193657035.138262,-73786313.441654,196657.404889
2420042.5,Venus,-185391690.302908,76179196.597784,3522234.938513
2420043.5,Moon,-238964.189676,-277194.884545,-27372.443683
2420043.5,Mercury,-190874957.888012,-78906161.211437,-226789.532805
2420043.5,Venus,-187735339.825548,72533717.553556,3670116.377079
2420044.5,Moon,-165887.359562,-332237.335882,-31887.119946
2420044.5,Mercury,-187910693.981884,-83853166.091678,-649524.667005
2420044.5,Venus,-190002996.350122,68817082.911299,3815087.852324
2420045.5,Moon,-83318.822814,-368009.245609,-34548.122921
2420045.5,Mercury,-184774318.070770,-88621704.038753,-1070239.897746
2420045.5,Venus,-192192601.639203,65031014.986509,3957035.242552
2420046.5,Moon,3768.847042,-383424.911025,-35294.980560
2420046.5,Mercury,-181475805.877298,-93206576.577706,-1487672.385322
2420046.5,Venus,-194302139.411844,61177282.137080,4095845.299461
2420047.5,Moon,90620.642729,-378597.003164,-34176.535184
2420047.5,Mercury,-178025042.776826,-97602971.466464,-1900600.086216
2420047.5,Venus,-196329632.995031,57257699.918456,4231405.982482
2420048.5,Moon,172913.006497,-354612.763589,-31328.484065
2420048.5,Mercury,-174431836.147747,-101806427.551860,-2307837.441184
2420048.5,Venus,-198273144.586185,53274132.708380,4363606.827471
2420049.5,Moon,246864.759110,-313323.871148,-26952.961670
2420049.5,Mercury,-170705930.743326,-105812804.198227,-2708231.284243
2420049.5,Venus,-200130775.736563,49228495.106718,4492339.288290
2451545,Moon,-291608.384633,-274979.741169,36271.196634
2451545,Mercury,7037307.321571,-211610572.056067,-3679243.194323
2451545,Venus,-80957460.374766,-149582311.768416,6136245.449144
2451546,Moon,-229697.213174,-331429.541769,34449.361332
2451546,Mercury,12830510.166274,-211982134.611195,-4045907.966090
2451546,Venus,-78225487.668216,-152120977.469749,6085408.890265
2451547,Moon,-157252.245382,-373023.733934,31056.169750
2451547,Mercury,18662063.485931,-212111327.616286,-4400812.499647
2451547,Venus,-75417491.299996,-154608313.540565,6029735.865020
2451548,Moon,-77633.738930,-398068.928986,26259.860490
2451548,Mercury,24521621.797781,-211996267.237130,-4742916.183501
2451548,Venus,-72534543.108673,-157042074.063044,5969274.631289
2451549,Moon,5561.056052,-405521.729082,20280.948278
