#Pleiades SPK Reference Corpus
#Source: JPL Horizons VECTORS (geocentric, Ecliptic of J2000, GEOMETRIC), Tier B constrained
#Coverage: geocentric ecliptic (mean geometric), TDB epochs
#Redistribution: derived from public-domain JPL Horizons; corpus is redistributable
#Slice-Role: asteroid_constrained
#Columns:epoch_jd,body,x_km,y_km,z_km
2445680.5,asteroid:2060-Chiron,1081451736.831613,1841036632.497898,-144148242.687034
2446045.5,asteroid:2060-Chiron,851306466.365982,1858530692.874557,-159728178.283084
2446410.5,asteroid:2060-Chiron,610161748.079365,1851098905.415066,-173303324.810674
2446775.5,asteroid:2060-Chiron,359854976.082923,1815432279.458708,-184404686.028655
2447140.5,asteroid:2060-Chiron,103073684.438101,1747714043.965715,-192477869.680202
2447505.5,asteroid:2060-Chiron,-156253465.624593,1643788344.588538,-196866160.736336
2447870.5,asteroid:2060-Chiron,-412646163.508745,1499395281.545720,-196797262.709983
2448235.5,asteroid:2060-Chiron,-658481820.062043,1310505261.690103,-191397922.068524
2448600.5,asteroid:2060-Chiron,-883511028.882463,1074239908.953122,-179745575.487043
2448965.5,asteroid:2060-Chiron,-1074644240.859317,790223225.133522,-161019220.807633
2449330.5,asteroid:2060-Chiron,-1216305592.029252,462550600.989547,-134727190.729319
2449695.5,asteroid:2060-Chiron,-1292613102.601206,102030701.950401,-101058252.755260
2450060.5,asteroid:2060-Chiron,-1291500610.746026,-273126895.459304,-61214786.361248
2450425.5,asteroid:2060-Chiron,-1209342833.292750,-639715402.685024,-17429621.577156
2450790.5,asteroid:2060-Chiron,-1053192759.325897,-975049712.075235,27482346.314225
2451155.5,asteroid:2060-Chiron,-838359550.479593,-1262668072.502259,70865470.717300
2451520.5,asteroid:2060-Chiron,-583234580.709187,-1494552284.374740,110760854.459416
2451885.5,asteroid:2060-Chiron,-304932674.320029,-1669830697.535394,146039664.875560
2452250.5,asteroid:2060-Chiron,-17073117.100051,-1792105419.615326,176255609.311695
2452615.5,asteroid:2060-Chiron,270466968.919447,-1866950837.761014,201396428.955046
2452980.5,asteroid:2060-Chiron,550866242.344999,-1900421869.572851,221699516.048179
2453345.5,asteroid:2060-Chiron,819618940.841599,-1898329832.268106,237511698.088574
2453710.5,asteroid:2060-Chiron,1073799976.734247,-1865839405.838937,249215878.346366
2454075.5,asteroid:2060-Chiron,1311546652.839612,-1807455810.580815,257194215.313289
2454440.5,asteroid:2060-Chiron,1531739602.843213,-1727091594.895654,261800107.733049
2454805.5,asteroid:2060-Chiron,1733699879.534676,-1628085512.382671,263361386.764785
2455170.5,asteroid:2060-Chiron,1917050833.374938,-1513362175.905129,262170740.252242
2455535.5,asteroid:2060-Chiron,2081662774.166420,-1385503263.135290,258493232.805054
