chart_id,jd_ut,lat_deg,lon_deg,elev_m,system_code,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,asc,mc
c2_lat55,2451545,55,0,0,Equal,28.505186,58.505186,88.505186,118.505186,148.505186,178.505186,208.505186,238.505186,268.505186,298.505186,328.505186,358.505186,28.505186,279.611088
c2_lat55,2451545,55,0,0,WholeSign,0.000000,30.000000,60.000000,90.000000,120.000000,150.000000,180.000000,210.000000,240.000000,270.000000,300.000000,330.000000,28.505186,279.611088
c2_lat55,2451545,55,0,0,Alcabitius,28.505186,53.528350,76.929561,99.611088,133.334056,170.360534,208.505186,233.528350,256.929561,279.611088,313.334056,350.360534,28.505186,279.611088
c2_lat55,2451545,55,0,0,Meridian,11.373900,42.906648,71.960854,99.611088,128.040522,158.849424,191.373900,222.906648,251.960854,279.611088,308.040522,338.849424,28.505186,279.611088
c2_lat55,2451545,55,0,0,Axial,11.373900,42.906648,71.960854,99.611088,128.040522,158.849424,191.373900,222.906648,251.960854,279.611088,308.040522,338.849424,28.505186,279.611088
c2_lat55,2451545,55,0,0,Topocentric,28.505186,63.790939,82.889033,99.611088,118.083205,145.457069,208.505186,243.790939,262.889033,279.611088,298.083205,325.457069,28.505186,279.611088
c2_lat55,2451545,55,0,0,Morinus,9.611088,38.040522,68.849424,101.373900,132.906648,161.960854,189.611088,218.040522,248.849424,281.373900,312.906648,341.960854,28.505186,279.611088
c3_lat66,2451545,66,0,0,Placidus,87.195607,91.480026,95.216522,99.611088,106.407601,123.196619,267.195607,271.480026,275.216522,279.611088,286.407601,303.196619,87.195607,279.611088
c3_lat66,2451545,66,0,0,Koch,87.195607,92.404329,96.266162,99.611088,152.576946,256.225793,267.195607,272.404329,276.266162,279.611088,332.576946,76.225793,87.195607,279.611088
c3_lat66,2451545,66,0,0,Porphyry,87.195607,91.334101,95.472594,99.611088,155.472594,211.334101,267.195607,271.334101,275.472594,279.611088,335.472594,31.334101,87.195607,279.611088
c3_lat66,2451545,66,0,0,Regiomontanus,87.195607,96.642222,98.436195,99.611088,101.054904,105.212182,267.195607,276.642222,278.436195,279.611088,281.054904,285.212182,87.195607,279.611088
c3_lat66,2451545,66,0,0,Campanus,87.195607,98.206375,99.105202,99.611088,100.161089,101.418196,267.195607,278.206375,279.105202,279.611088,280.161089,281.418196,87.195607,279.611088
c3_lat66,2451545,66,0,0,Equal,87.195607,117.195607,147.195607,177.195607,207.195607,237.195607,267.195607,297.195607,327.195607,357.195607,27.195607,57.195607,87.195607,279.611088
