# Source: Swiss Ephemeris (libswisseph-sys 0.1.2), swe_calc, iflag=SEFLG_MOSEPH|SEFLG_EQUATORIAL.
# Frame: apparent equatorial of date (nutation + aberration on). Columns: jd_tt,body,ra_deg,dec_deg.
# Convention-parity reference (Moshier); ceilings are deliberately loose vs the Horizons accuracy gate.
jd_tt,body,se_ra_deg,se_dec_deg
2436940.5,Pluto,162.633927895,20.913272800
2438766.8,Sun,287.055899732,-22.518044610
2438766.8,Moon,326.279717582,-18.327563204
2438766.8,Mercury,262.145193004,-21.231714393
2438766.8,Venus,261.767173574,-22.501853572
2438766.8,Mars,176.748516311,4.634535843
2438766.8,Jupiter,43.973555179,15.684015543
2438766.8,Saturn,334.365800459,-12.315805938
2438766.8,Uranus,166.231962409,6.754240115
2438766.8,Neptune,227.487673632,-15.929716545
2438766.8,Pluto,173.172780100,18.627625149
2440593.0,Sun,287.101980020,-22.514339345
2440593.0,Moon,266.090356478,-28.348359162
2440593.0,Mercury,301.476905572,-19.203634647
2440593.0,Venus,282.411016049,-23.429634632
2440593.0,Mars,347.704752418,-6.048292298
2440593.0,Jupiter,211.256236825,-11.378824381
2440593.0,Saturn,30.757536969,9.847304595
2440593.0,Uranus,188.341462604,-2.813459347
2440593.0,Neptune,238.237229296,-18.547365271
2440593.0,Pluto,184.070239909,15.559430156
2442419.2,Sun,287.134794238,-22.506944633
2442419.2,Moon,216.903017497,-17.315346913
2442419.2,Mercury,298.904818813,-22.949024009
2442419.2,Venus,303.113007534,-21.357140478
2442419.2,Mars,258.113066806,-23.259895014
2442419.2,Jupiter,345.996696713,-7.238009387
2442419.2,Saturn,106.663072057,22.164536843
2442419.2,Uranus,210.063113848,-11.682983613
2442419.2,Neptune,249.257947236,-20.532899363
2442419.2,Pluto,195.176226881,11.786932959
2444245.5,Sun,287.171167196,-22.500900515
2444245.5,Moon,159.962940504,9.231204490
2444245.5,Mercury,277.936794151,-24.425000754
2444245.5,Venus,321.782687692,-16.870084816
2444245.5,Mars,167.323029525,9.040730946
2444245.5,Jupiter,162.008876691,8.874700024
2444245.5,Saturn,178.136031626,3.194116011
2444245.5,Uranus,232.029978040,-18.580561209
2444245.5,Neptune,260.450207763,-21.804574402
2444245.5,Pluto,206.398584623,7.419922739
2446071.8,Sun,287.212443220,-22.499333531
2446071.8,Moon,95.975567745,26.548356612
2446071.8,Mercury,262.712445626,-21.830804218
2446071.8,Venus,334.640506456,-11.869339796
