# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_nod_aps, iflag=772 (SEFLG_MOSEPH|SEFLG_SPEED|SEFLG_NOGDEFL); method=4 rows only use iflag=770 (SEFLG_SWIEPH|SEFLG_SPEED|SEFLG_NOGDEFL, DE431-derived sepl_18.se1/semo_18.se1, SHA-256 pinned in the generator) because Moshier cannot produce barycentric positions.
# Nodes/apsides for the classical planets (SE 0-9; mean set drops Pluto). method bit flags: 1=mean, 2=osculating, 4=osculating-barycentric; fopoint=1 means SE_NODBIT_FOPOINT was OR'd onto method (aphelion point replaced by the orbit's focal point). Small bodies (SE 15-20) and fictitious bodies (SE 40-58) are OUT OF SCOPE (offline backend chain cannot serve small bodies; this SE build's swe_nod_aps does not implement fictitious bodies). Times are TT (Terrestrial Time) Julian days.
label,se_body,method,fopoint,jd_tt,asc_lon,asc_lat,asc_dist,asc_dlon,asc_dlat,asc_ddist,dsc_lon,dsc_lat,dsc_dist,dsc_dlon,dsc_dlat,dsc_ddist,peri_lon,peri_lat,peri_dist,peri_dlon,peri_dlat,peri_ddist,apo_lon,apo_lat,apo_dist,apo_dlon,apo_dlat,apo_ddist
Moon,1,1,0,2488021.500000000,353.478681648,-0.000000000,0.002706298,-0.052909922,0.000001712,-0.000000106,173.478681648,0.000000000,0.002431970,-0.052909922,-0.000001712,0.000000085,186.901239166,-1.197452233,0.002428485,0.110857753,-1.211782989,0.000000000,6.901239166,1.197452233,0.002710625,0.110857753,1.211782989,-0.000000000
Mercury,2,1,0,2415100.500000000,11.505614313,0.000041366,1.235049597,0.784360075,0.000027774,0.003455116,335.398944394,0.000067548,0.757793496,1.186637258,0.000053381,-0.007172093,16.300294722,0.925001115,1.117357580,0.802511732,0.920190461,0.004607642,333.718122533,-1.594421190,0.983730025,0.993368998,-1.604685977,-0.007199202
Mercury,2,1,0,2433282.500000000,297.446141571,-0.000029155,0.829108926,1.153241500,0.000036236,0.005229212,264.160042055,-0.000018506,1.309628792,0.735879665,0.000026713,-0.004785914,289.904323694,1.459026241,0.712606186,1.338328355,1.448820130,0.004348057,272.496928530,-1.108934301,1.422899044,0.716288562,-1.110335686,-0.003326130
Mercury,2,1,0,2441683.500000000,297.898413060,-0.000188509,0.829915797,1.152536944,0.000040397,0.005246492,264.550967512,-0.000119575,1.308885664,0.736707820,0.000028091,-0.004792814,290.358555205,1.462344498,0.712847819,1.338156515,1.452251661,0.004371253,272.906569519,-1.112168120,1.422783525,0.716942289,-1.113477121,-0.003331140
Mercury,2,1,0,2451545.000000000,297.783422371,0.000274956,0.827996457,1.155333311,-0.000004234,0.005230542,264.592141445,0.000173708,1.310627660,0.735969826,0.000001563,-0.004761456,290.118025362,1.470358163,0.711497928,1.341727561,1.459673755,0.004333929,272.990427409,-1.114607877,1.423892817,0.716239394,-1.116178068,-0.003296104
Mercury,2,1,0,2459000.500000000,64.984659774,0.000151068,1.311490080,0.738778044,0.000007063,-0.001334122,85.573488497,0.000321680,0.615940908,1.516276939,0.000006151,0.004696584,71.769223040,0.795006733,1.318928928,0.731602462,0.794071259,-0.000157176,63.670815157,-2.861515505,0.556182268,1.781550593,-2.854346439,0.001266930
Mercury,2,1,0,2466154.500000000,297.483153129,0.000085473,0.824444845,1.160358166,0.000018852,0.005193910,264.574841429,0.000053586,1.313679938,0.734447508,0.000007281,-0.004709165,289.601662155,1.482069050,0.709108736,1.347824432,1.471664785,0.004258782,273.041365880,-1.118607768,1.425679398,0.714843894,-1.120008134,-0.003238185
Mercury,2,1,0,2477476.500000000,296.819244730,0.000206624,0.819906639,1.168512969,0.000012319,0.005154437,264.297452420,0.000128520,1.317857876,0.733468702,0.000008956,-0.004642091,288.683825705,1.493302337,0.706406320,1.357077059,1.482826063,0.004165790,272.829374419,-1.120871516,1.427917532,0.713990649,-1.122268033,-0.003161327
Mercury,2,1,0,2488021.500000000,233.037916555,-0.000088436,0.675714491,1.474347741,-0.000002264,0.000110999,231.163487852,-0.000041439,1.441030725,0.691150751,0.000005022,-0.000456428,220.940761623,1.450313430,0.729613340,1.390871348,1.453315801,-0.002191388,240.449409431,-1.130187190,1.421191931,0.673322275,-1.127886169,0.001307514
Venus,3,1,0,2415100.500000000,31.332649045,0.000037164,1.373924895,0.614430793,0.000021478,0.008984685,319.948098546,0.000047823,1.068935423,0.708423143,0.000041309,-0.011093988,46.595486965,2.546240722,0.778239694,0.751383945,2.500485814,0.013879494,339.762280726,-1.285446806,1.562093850,0.624806062,-1.290136963,-0.006634641
