# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc, iflag=1588 (SEFLG_MOSEPH|SEFLG_J2000|SEFLG_TRUEPOS|SEFLG_NOABERR|SEFLG_NOGDEFL).
# Fictitious (hypothetical) bodies, SE numbers 40..=58 (SE_FICT_OFFSET_1 + 1..=19). Elements read from the committed data/seorbel.txt (SE's built-in fallback only covers 40-54; 55-58 require this file). Geocentric J2000-ecliptic lon/lat (degrees) and distance (AU), GEOMETRIC (no light-time, no aberration, no gravitational deflection) — matches FictitiousBackend::position's geocentric-J2000 boundary. Times are TT (Terrestrial Time) Julian days, evenly sampled per body across the 1900-2100 CE window (JD 2415020.5..=2488069.5).
label,se_body,jd_tt,lon_deg,lat_deg,dist_au
Poseidon,47,2425096.224137931,179.373030279,-0.000996774,84.344770020
Poseidon,47,2427615.155172414,182.437922729,-0.001720313,83.712685551
Poseidon,47,2430134.086206897,185.822378688,-0.002485570,83.058759450
Poseidon,47,2432653.017241379,189.469204350,-0.003272384,82.691099608
Poseidon,47,2435171.948275862,193.188840253,-0.004037360,82.795807936
Poseidon,47,2437690.879310345,196.743672646,-0.004741863,83.331512061
Poseidon,47,2440209.810344827,199.977328383,-0.005389448,84.033707715
Poseidon,47,2442728.741379310,202.900977230,-0.005992308,84.552520438
Poseidon,47,2445247.672413793,205.677092965,-0.006607476,84.639716089
Poseidon,47,2447766.603448276,208.527922799,-0.007242785,84.264431727
Poseidon,47,2450285.534482758,211.633837377,-0.007902912,83.609146091
Poseidon,47,2452804.465517242,215.060507314,-0.008554145,82.978596761
Poseidon,47,2455323.396551724,218.727949328,-0.009147478,82.668386796
Poseidon,47,2457842.327586207,222.436590004,-0.009652090,82.833198323
Poseidon,47,2460361.258620690,225.957515217,-0.010051090,83.402622543
Poseidon,47,2462880.189655173,229.152190599,-0.010399216,84.100199925
Poseidon,47,2465399.120689655,232.047874822,-0.010741862,84.580201861
Poseidon,47,2467918.051724138,234.818493483,-0.011135605,84.609386344
Poseidon,47,2470436.982758621,237.691120207,-0.011580837,84.182032516
Poseidon,47,2472955.913793103,240.838682976,-0.012043792,83.508221424
Poseidon,47,2475474.844827586,244.306418039,-0.012461886,82.905378818
Poseidon,47,2477993.775862069,247.991569334,-0.012749885,82.655719770
Poseidon,47,2480512.706896552,251.685353573,-0.012883249,82.880730272
Poseidon,47,2483031.637931034,255.169472565,-0.012870937,83.479896645
Poseidon,47,2485550.568965517,258.325200174,-0.012795441,84.166616581
Poseidon,47,2488069.500000000,261.196069655,-0.012738911,84.603666498
Transpluto,48,2415020.500000000,103.001239844,0.006757751,74.300476655
Transpluto,48,2417539.431034483,107.107243649,0.006593610,76.074279723
