# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc SE_OSCU_APOG=13,
# iflag=SEFLG_MOSEPH (Moshier, no data files). Frame: true ecliptic of date, nutation on.
# Columns: of-date true ecliptic longitude/latitude (deg) and geocentric distance (AU).
# Accuracy note: Moshier Moon vs the DE440-sourced packaged Moon is part of the gate budget;
# upgrade path is SEFLG_JPLEPH against DE440 if the band is too loose.
jd_tt,se_oscu_apogee_lon_deg,se_oscu_apogee_lat_deg,se_oscu_apogee_dist_au
2417297.5,52.315513589,-5.115527990,0.002711597925
2417320.5,36.143246910,-4.931152956,0.002699259077
2417343.5,41.143349855,-5.017449108,0.002727959253
2417366.5,67.086600182,-4.652711420,0.002755551317
2417389.5,82.381642447,-3.977396701,0.002673109007
2417412.5,56.678322810,-5.084290374,0.002702195089
2417435.5,62.057586946,-4.952989275,0.002703040697
2417458.5,77.081443018,-4.232594447,0.002708817129
2417481.5,54.312196132,-4.972879952,0.002645373521
2417504.5,48.132158941,-4.947982093,0.002711751936
2417527.5,73.540472010,-3.992481911,0.002745827541
2417550.5,89.649694367,-2.872318693,0.002709348089
2417573.5,74.937540289,-3.868212110,0.002715934476
2417596.5,76.514745946,-3.813450679,0.002715010391
2417619.5,103.145144905,-1.741236829,0.002740354748
2417642.5,102.248591763,-1.713009279,0.002615471596
2417665.5,69.419515842,-3.886902657,0.002701740597
2417688.5,88.983057475,-2.425737597,0.002713560440
2417711.5,98.213908283,-1.477245264,0.002710840862
2417734.5,84.932312511,-2.515965418,0.002702627664
2417757.5,85.724482535,-2.462929796,0.002719194711
2417780.5,111.501898332,-0.175538397,0.002762564220
2417803.5,130.083834346,1.538511195,0.002670128910
2417826.5,103.093860010,-0.814309242,0.002696874256
2417849.5,107.156434804,-0.275752972,0.002702392886
2417872.5,121.966039140,1.262393781,0.002707897216
2417895.5,101.962460395,-0.344269254,0.002650839210
2417918.5,93.284760265,-1.022040000,0.002705026400
2417941.5,119.634372092,1.406122576,0.002752607118
2417964.5,137.953101111,2.935740873,0.002706631104
2417987.5,122.825072224,1.692137240,0.002714910641
2418010.5,123.357039624,1.874363128,0.002712527170
2418033.5,148.068490342,3.766651725,0.002736810581
2418056.5,146.922909094,3.875669283,0.002622408404
2418079.5,116.010489022,1.812206581,0.002693208364
2418102.5,133.224847459,3.244534220,0.002717400143
2418125.5,144.524311810,4.015965736,0.002711585872
2418148.5,133.781819305,3.277376797,0.002706742777
2418171.5,130.437170213,3.066293301,0.002713943879
2418194.5,156.506443910,4.532829287,0.002769698651
2418217.5,177.756182026,5.042023332,0.002669533522
2418240.5,149.519918671,4.503634401,0.002692910287
2418263.5,152.659045514,4.768687830,0.002704119317
2418286.5,167.139371696,5.221969314,0.002708184657
2418309.5,149.531793041,4.721971457,0.002658898878
2418332.5,139.292366848,4.187385072,0.002701386578
2418355.5,165.581041506,5.010010953,0.002759301636
2418378.5,185.174713600,4.873490910,0.002705099584
2418401.5,170.376358943,5.033069790,0.002714578706
2418424.5,169.594192774,5.166117418,0.002711410965
2418447.5,191.882556255,4.756089306,0.002733494719
2418470.5,192.143891479,4.767321016,0.002632217062
2418493.5,161.707458030,5.196008190,0.002682113506
2418516.5,176.484578285,5.041540185,0.002723296040
2418539.5,190.649865668,4.478010793,0.002712326558
2418562.5,181.788960959,4.686256777,0.002710547017
2418585.5,175.502764632,4.903198998,0.002711730359
2418608.5,202.255271473,3.714824084,0.002773726023
2418631.5,225.366079655,1.995940704,0.002666750870
2418654.5,195.510381196,4.153752604,0.002687177320
2418677.5,198.210279437,3.911815258,0.002704511828
2418700.5,212.048220849,2.769836432,0.002706194785
2418723.5,197.209049485,3.613680176,0.002666961406
2418746.5,185.635808302,4.156025824,0.002696145241
2418769.5,211.053673923,2.420200952,0.002762827175
2418792.5,231.997223631,0.583615315,0.002702083497
2418815.5,218.035961347,1.833368769,0.002711475534
2418838.5,215.393828222,2.023843048,0.002708817650
2418861.5,235.239834681,0.171111923,0.002728333491
2418884.5,238.563399359,-0.263471418,0.002642412826
