# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_pheno, iflag=516 (SEFLG_MOSEPH|SEFLG_NOGDEFL).
# Phase/phase-angle/elongation/diameter/magnitude for the classical planets (SE 0-9). attr[0]=phase_angle (deg), attr[1]=phase (illuminated fraction), attr[2]=elongation (deg), attr[3]=diameter (DEGREES, not arcsec), attr[4]=magnitude. For the Sun, SE skips the phase/elongation blocks and leaves them at 0. Times are TT (Terrestrial Time) Julian days.
label,se_body,jd_tt,phase_angle,phase,elongation,diameter_deg,magnitude
Saturn,6,2488021.500000000,2.988582258,0.999319972,30.593513891,0.004251895,0.841455602
Uranus,7,2415100.500000000,2.854185527,0.999379746,108.449138301,0.001040649,5.609799167
Uranus,7,2433282.500000000,0.372751209,0.999989419,172.673314366,0.001081101,5.502721575
Uranus,7,2441683.500000000,2.994801600,0.999317140,77.693994016,0.001045963,5.527941157
Uranus,7,2451545.000000000,1.603176343,0.999804283,34.446535368,0.000937283,5.930410585
Uranus,7,2459000.500000000,1.529952636,0.999821752,31.506430548,0.000940460,5.908982525
Uranus,7,2466154.500000000,1.146568304,0.999899889,157.895625486,0.001099034,5.431251811
Uranus,7,2477476.500000000,0.754679414,0.999956628,14.966661172,0.000965451,5.776997631
Uranus,7,2488021.500000000,1.560068580,0.999814666,146.536103661,0.001014907,5.762878498
Neptune,8,2415100.500000000,1.898771253,0.999725463,83.363454897,0.000629283,7.869869751
Neptune,8,2433282.500000000,1.845307028,0.999740705,82.741328514,0.000620331,7.931508686
Neptune,8,2441683.500000000,1.041809326,0.999917347,34.232048436,0.000606007,7.983614989
Neptune,8,2451545.000000000,0.729926414,0.999959426,22.825925378,0.000607919,7.852845031
Neptune,8,2459000.500000000,1.906857788,0.999723120,79.199880421,0.000626510,7.773684035
Neptune,8,2466154.500000000,1.765451935,0.999762659,110.670503372,0.000640402,7.717448810
Neptune,8,2477476.500000000,0.086086415,0.999999436,177.561876507,0.000651591,7.688245948
Neptune,8,2488021.500000000,1.699547725,0.999780047,64.936060478,0.000616098,7.830021309
Pluto,9,2415100.500000000,1.171061305,0.999895567,74.090360237,0.000019287,15.726658734
Pluto,9,2433282.500000000,0.971558825,0.999928118,141.456655712,0.000025604,14.555323690
Pluto,9,2441683.500000000,1.802006259,0.999752730,95.768942949,0.000029339,13.925135799
Pluto,9,2451545.000000000,0.948829340,0.999931442,30.718399786,0.000029302,13.863014679
Pluto,9,2459000.500000000,1.204953376,0.999889435,135.297011602,0.000027317,14.274180119
Pluto,9,2466154.500000000,1.019809264,0.999920801,44.724930288,0.000022935,14.948383844
Pluto,9,2477476.500000000,1.224666151,0.999885787,83.137734010,0.000019880,15.602250990
Pluto,9,2488021.500000000,0.491227119,0.999981624,154.698423905,0.000018952,15.855166755
